"STUDENT_ID	",SECTION_ID
41,"1	"
42,"2	"
43,"3	"
44,"4	"
45,"5	"
46,"6	"
47,"7	"
48,"8	"
49,"9	"
50,"10	"
51,"11	"
52,"12	"
53,"13	"
54,"14	"
55,"15	"
56,"16	"
57,"17	"
58,"18	"
59,"19	"
60,"20	"
61,"21	"
62,"22	"
63,"23	"
64,"24	"
65,"25	"
66,"26	"
67,"27	"
68,"28	"
69,"29	"
70,"30	"
71,"31	"
72,"32	"
73,"33	"
74,"34	"
75,"35	"
76,"36	"
77,"37	"
78,"38	"
79,"39	"
80,"40	"
41,"41	"
42,"42	"
43,"43	"
44,"44	"
45,"45	"
46,"46	"
47,"47	"
48,"48	"
49,"49	"
50,"50	"
51,"51	"
52,"52	"
53,"53	"
54,"54	"
55,"55	"
56,"56	"
57,"57	"
58,"58	"
59,"59	"
60,"60	"
61,"61	"
62,"62	"
63,"63	"
64,"64	"
65,"65	"
66,"66	"
67,"67	"
68,"68	"
69,"69	"
70,"70	"
71,"71	"
72,"72	"
73,"73	"
74,"74	"
75,"75	"
76,"76	"
77,"77	"
78,"78	"
79,"79	"
80,"80	"
